"","artist","num_words","num_unique_words","per_unique"
"389","abaddon-incarnate",778,407,0.523136246786632
"390","abakan",293,138,0.47098976109215
"391","abandon",1662,494,0.297232250300842
"392","abandon-all-ships",3937,665,0.168910337820676
"393","abandonair",188,90,0.478723404255319
"394","abandoned-pools",4847,858,0.177016711367856
"395","abba",42900,3021,0.0704195804195804
"396","abbe-may",611,228,0.37315875613748
"397","abbey-lincoln",6363,1182,0.185761433286186
"398","abbie-mckerrell",131,42,0.320610687022901
"399","abbott-and-costello",1660,252,0.151807228915663
"400","abbott-hayes",1638,554,0.338217338217338
"401","abby-6",1723,472,0.273940800928613
"402","abby-dobson",2430,529,0.217695473251029
"403","abby-normal",1649,645,0.391146149181322
"404","abc",15240,2352,0.154330708661417
"405","abdel-wright",2510,759,0.302390438247012
"406","abdelfattah-grini",106,66,0.622641509433962
"407","abderrahim",179,60,0.335195530726257
"408","abdi",598,149,0.249163879598662
"409","abdu",497,105,0.211267605633803
"410","abdu-aja-albouzedi",644,123,0.190993788819876
"411","abducted",1669,482,0.288795686039545
"412","abdul-hannan",531,286,0.538606403013183
"413","abdullah",2055,462,0.224817518248175
"414","abee",190,67,0.352631578947368
"415","abel-miller",951,244,0.256572029442692
"416","abel-trost",225,114,0.506666666666667
"417","abercrombie",816,384,0.470588235294118
"418","abhishek",158,73,0.462025316455696
"419","abhishek-aditya-kashyap",254,111,0.437007874015748
"420","abhishek-awasthi",167,70,0.419161676646707
"421","abhishek-bachchan",480,140,0.291666666666667
"422","abhkesdescartes",525,171,0.325714285714286
"423","abhorrance",1312,698,0.532012195121951
"424","abi-alton",347,129,0.371757925072046
"425","abi-esther-ofraim",176,89,0.505681818181818
"426","abi-melechh",161,76,0.472049689440994
"427","abibell",145,39,0.268965517241379
"428","abica",6718,933,0.138880619231914
"429","abidin-zainal",182,132,0.725274725274725
"430","abigail",1495,437,0.292307692307692
"431","abigail-bailey",159,57,0.358490566037736
"432","abigail-daley",76,52,0.684210526315789
"433","abigail-washburn",1472,538,0.365489130434783
"434","abigor",9663,2372,0.245472420573321
"435","abingdon-boys-school",1338,477,0.356502242152466
"436","abishiekh",194,80,0.412371134020619
"437","abiura",365,248,0.679452054794521
"438","abk",17398,2425,0.139383837222669
"439","ablaze-my-sorrow",3651,848,0.232265132840318
"440","able-tashar",364,135,0.370879120879121
"441","abn",930,286,0.30752688172043
"442","abn-renegades",18,6,0.333333333333333
"443","abney-park",3022,739,0.244540039708802
"444","abominable-slowmen",2668,1001,0.375187406296852
"445","abominant",6606,1494,0.226158038147139
"446","abomination",2113,885,0.418835778513961
"447","aborted",4647,1609,0.346244889175812
"448","aborym",1793,797,0.444506413831567
"449","above-beyond",8340,941,0.112829736211031
"450","above-only",279,92,0.329749103942652
"451","above-the-law",7316,1587,0.216921815199563
"452","above-the-underground",1332,344,0.258258258258258
"453","abra",2489,844,0.339092004821213
"454","abra-moore",9465,1128,0.119175911251981
"455","abraham",138,102,0.739130434782609
"456","abraham-cloud",2711,759,0.279970490593877
"457","abraham-mateo",5160,970,0.187984496124031
"458","abraham-mcdonald",325,116,0.356923076923077
"459","abraira",6378,1385,0.217152712449044
"460","abram-shook",152,74,0.486842105263158
"461","abramelin",2642,1089,0.41218773656321
"462","abrams-rita",197,101,0.512690355329949
"463","abrasive-wheels",2118,539,0.254485363550519
"464","abraxas",2745,705,0.256830601092896
"465","abreu-fernanda",1970,681,0.345685279187817
"466","abrina",450,89,0.197777777777778
"467","abrunhosa-pedro",770,280,0.363636363636364
"468","abrupto-grande",156,67,0.429487179487179
"469","abs",6617,1030,0.155659664500529
"470","absent-friends",617,110,0.178282009724473
"471","absentstar",743,220,0.296096904441454
"472","abser",369,73,0.197831978319783
"473","abserdo",123,93,0.75609756097561
"474","absolut-p",934,277,0.296573875802998
"475","absolute",932,316,0.339055793991416
"476","absolute-beginner",8667,2850,0.3288335064036
"477","absolutely-free",92,60,0.652173913043478
"478","absolution-project",467,126,0.269807280513919
"479","abstract",1281,373,0.291178766588603
"480","abstract-rude",910,443,0.486813186813187
"481","absu",7192,2284,0.317575083426029
"482","absurdus",1457,494,0.339052848318463
"483","abysmal",790,320,0.40506329113924
"484","abysmal-dawn",849,388,0.457008244994111
"485","abyssaria",2190,774,0.353424657534247
"486","abyssic-hate",1597,623,0.390106449592987
"487","abyssos",4653,968,0.208037825059102
"488","ac",756,307,0.406084656084656
"489","ac-dc",50181,2951,0.0588071182320002
"490","ac-g",218,143,0.655963302752294
"491","aca-lukas",171,67,0.391812865497076
"492","academia-operacion-triunfo",262,76,0.290076335877863
"493","acappella",877,235,0.267958950969213
"494","acapulco-tropical",1059,223,0.210576015108593
"495","accapela",16,15,0.9375
"496","accept",31641,2913,0.0920640940551816
"497","acceptance",4414,631,0.142954236520163
"498","accuface",236,130,0.550847457627119
"499","acda-de-munnik",942,307,0.325902335456476
"500","acda-en-de-munnik",757,259,0.342140026420079
"501","ace-frehley",10724,1416,0.132040283476315
"502","ace-hood",88624,6127,0.0691347716194259
"503","ace-of-base",22676,1833,0.0808343623213971
"504","ace-of-spades",240,99,0.4125
"505","ace-quips",968,381,0.393595041322314
"506","ace-shocka",1053,336,0.319088319088319
"507","ace-troubleshooter",10095,1620,0.160475482912333
"508","ace-wilder",1484,301,0.202830188679245
"509","ace-young",3215,674,0.209642301710731
"510","acel-bisa",214,64,0.299065420560748
"511","acetone",781,313,0.400768245838668
"512","aceyalone",44345,6028,0.135934152666592
"513","acha-septriasa",97,42,0.43298969072165
"514","acheron",4591,1258,0.274014375952951
"515","achim-g",673,307,0.456166419019316
"516","achim-reichel",3335,931,0.279160419790105
"517","achrijoli",420,98,0.233333333333333
"518","acid-bath",6203,1168,0.188295985813316
"519","acid-black-cherry",185,82,0.443243243243243
"520","acid-death",3408,1027,0.301349765258216
"521","acid-drinkers",18300,3335,0.18224043715847
"522","acid-eyeliner",279,76,0.272401433691756
"523","acid-house-kings",464,146,0.314655172413793
"524","acid-rain",5433,1262,0.232284189214062
"525","acker-bilk-chris-barber-kenny-ball",41,30,0.731707317073171
"526","acolla",2287,649,0.283777874945343
"527","acoustic-element",346,73,0.210982658959538
"528","acoustic-torment",2811,961,0.341871220206332
"529","acrasia",954,335,0.351153039832285
"530","acres",180,92,0.511111111111111
"531","acrimony",606,248,0.409240924092409
"532","acroma",2595,500,0.192678227360308
"533","acron",1168,455,0.389554794520548
"534","across-five-aprils",5014,1100,0.219385719984045
"535","across-the-sky",1841,474,0.25746876697447
"536","acrostichon",1792,676,0.377232142857143
"537","act-fast",1520,436,0.286842105263158
"538","act-of-congress",232,79,0.34051724137931
"539","act-of-defiance",334,201,0.601796407185629
"540","act-of-god",818,382,0.466992665036675
"541","acting-quiet",438,192,0.438356164383562
"542","actinism",354,101,0.285310734463277
"543","action-action",9087,1173,0.12908550676791
"544","action-bronson",27315,4963,0.181695039355665
